"Phi [deg]","dB(GainLHCP) [] - F='1.575GHz' Theta='90.0000000000002deg'","dB(GainRHCP) [] - F='1.575GHz' Theta='90.0000000000002deg'"
28,-19.8039859743708,0.238292102086097
30,-20.5833130916716,0.505853792184122
32,-21.3684224340389,0.77045262740867
34,-22.147665951569,1.03324448204801
36,-22.9089562786914,1.29511015034545
38,-23.6397970840346,1.55662540172284
40,-24.3275157049751,1.81803578855216
42,-24.9600400331047,2.07924097569581
44,-25.5274828891202,2.33979372077567
46,-26.0244138670438,2.59891753592432
48,-26.4521270327052,2.85554471252071
50,-26.8198661665264,3.1083733681906
52,-27.144262620946,3.35593924218384
54,-27.4470891235524,3.59669581694088
56,-27.7522095277691,3.82909540179788
57.9999999999999,-28.0827667582019,4.05166413959992
60.0000000000001,-28.4592461305833,4.26306523633882
61.9999999999998,-28.8985112907484,4.46214664170282
64,-29.4135671135352,4.64797147999467
66.0000000000001,-30.0137106182931,4.81983139669492
67.9999999999998,-30.7047845995294,4.97724443981698
70,-31.4893421335925,5.11994006615432
72.0000000000002,-32.3666055443996,5.24783437563107
73.9999999999998,-33.332137105903,5.36099880820843
76,-34.3771042921643,5.45962537884296
78.0000000000002,-35.4868481637425,5.54399116422796
79.9999999999998,-36.6379978224045,5.61442426661241
82,-37.7924576791326,5.67127293029427
84.0000000000002,-38.8856698851039,5.71487893264819
85.9999999999998,-39.808881305273,5.74555586376699
88,-40.3998497338774,5.76357248787468
90.0000000000002,-40.4841558633777,5.76914107359526
91.9999999999998,-39.9861891232037,5.76241040008703
94,-39.001515384676,5.74346308433422
96.0000000000002,-37.7245722340895,5.71231690633119
97.9999999999998,-36.3322674131081,5.66892989537042
100,-34.9382704188587,5.61320903814601
102,-33.6026875815578,5.54502253588625
104,-32.3528711009937,5.46421554013983
106,-31.1985139606547,5.37062921561606
108,-30.1402030027518,5.26412280924698
110,-29.1738494575353,5.14459815699485
112,-28.2929098720567,5.0120257542676
114,-27.4894922714299,4.86647117956983
116,-26.7549203752802,4.70812032569309
118,-26.0800500644899,4.53730159264422
120,-25.4554889233943,4.35450296947826
122,-24.8717931629024,4.16038182150803
124,-24.3196718392688,3.95576525481659
126,-23.7902009522422,3.74163920574025
128,-23.2750349695134,3.51912494926348
130,-22.7665999558736,3.28944256770002
132,-22.2582596236856,3.05386205859338
134,-21.7444585670815,2.8136441127804
136,-21.2208573944272,2.56997400551741
138,-20.6844739470133,2.32389328871076
140,-20.133829916186,2.07623478794487
142,-19.5690783451542,1.82756656061834
144,-18.9920675351516,1.57814983461907
146,-18.4062941141827,1.32791456333998
148,-17.8167177043628,1.07645433038627
150,-17.2294445987213,0.823040283136575
152,-16.6513224729353,0.566651977150656
154,-16.0895076976395,0.306021809905493
156,-15.5510655098325,0.0396892903726558
158,-15.04264556418,-0.233938279545609
160,-14.5702510053585,-0.51652121095848
162,-14.139097204337,-0.809720151838851
164,-13.7535414693027,-1.11512600546406
166,-13.4170578408777,-1.43418569213535
168,-13.1322294317617,-1.76812144546639
170,-12.9007319506296,-2.11784074520231
172,-12.7232838986805,-2.48383386609191
174,-12.5995403746606,-2.86605653425508
176,-12.5279087364567,-3.26379663877746
178,-12.5052675202059,-3.67552686081097
180,-12.5265794489465,-4.0987501810922
