"Freq [GHz]","dB(S(p1,p1)) []","dB(S(p2,p2)) []"
1.59,-5.78415305374286,-5.73392948775733
1.592,-4.95943352234743,-4.9243420606125
1.594,-4.29034437262865,-4.26612858586489
1.596,-3.74113739712603,-3.72483914395667
1.598,-3.28583992184445,-3.27535404565446
1.6,-2.90508104094001,-2.89888446252545
1.602,-2.58413297764717,-2.58111042117838
1.604,-2.31163123796035,-2.31095853826834
1.606,-2.0787012101425,-2.07976491306067
1.608,-1.87834243668246,-1.88068325253905
1.61,-1.7049838324955,-1.70825625344164
1.612,-1.55415637225775,-1.55809948993301
1.614,-1.42224869739973,-1.42666491139114
1.616,-1.30632247218366,-1.31106182904323
1.618,-1.20397148909428,-1.20892008048251
1.62,-1.11321322250102,-1.11828453488153
1.622,-1.03240470623921,-1.03753313295664
1.624,-0.960176811958198,-0.965312760310016
1.626,-0.895382560090714,-0.900488742262167
1.628,-0.837056210762483,-0.84210481863142
1.63,-0.784380692108118,-0.789351235611231
1.632,-0.736661517963566,-0.741539164257562
1.634,-0.693305787039926,-0.698080079515691
1.636,-0.653805184087267,-0.658469050880862
1.638,-0.617722150328548,-0.622271134469028
1.64,-0.584678577085232,-0.589110237057872
1.642,-0.554346518545643,-0.558659960419937
1.644,-0.526440528333821,-0.530636039851796
1.646,-0.500711308201696,-0.504790072166553
1.648,-0.476940421902184,-0.480904291448396
1.65,-0.45493587764722,-0.458787199947449
1.652,-0.434528421905033,-0.438269899896029
1.654,-0.415568418196372,-0.419203002221424
1.656,-0.397923208934692,-0.401454011979186
1.658,-0.381474877684902,-0.384905109253056
1.66,-0.366118344603835,-0.369451259347173
1.662,-0.351759740129857,-0.354998598163214
1.664,-0.338315011867847,-0.341463048352674
1.666,-0.325708727579626,-0.328769129658016
1.668,-0.313873043634804,-0.316848933193185
1.67,-0.302746813512917,-0.305641234565868
1.672,-0.29227481521706,-0.295090724947641
1.674,-0.282407079953034,-0.285147342640678
1.676,-0.273098307296888,-0.27576569051889
1.678,-0.264307354437962,-0.266904527053264
1.68,-0.25599678903875,-0.258526320561185
1.682,-0.248132496873809,-0.250596857920288
1.684,-0.240683336758289,-0.243084900320339
1.686,-0.233620836401934,-0.235961879739248
1.688,-0.226918923765945,-0.229201630761187
1.69,-0.220553689290473,-0.222780153137136
1.692,-0.214503175025685,-0.21667540114688
1.694,-0.20874718726059,-0.210867096377912
1.696,-0.203267129718684,-0.205336561007217
1.698,-0.198045854792533,-0.200066569071773
1.7,-0.193067530631679,-0.195041213553349
1.702,-0.188317522190604,-0.190245787392975
1.704,-0.183782284592669,-0.185666676798539
1.706,-0.17944926737992,-0.181291265420837
1.708,-0.175306828401749,-0.177107848155905
1.71,-0.171344156253445,-0.17310555348831
1.712,-0.167551200311357,-0.16927427342504
1.714,-0.163918607529048,-0.165604600186816
1.716,-0.160437665260339,-0.162087768924498
1.718,-0.157100249463356,-0.158715605816172
1.72,-0.153898777716232,-0.155480480976747
1.722,-0.150826166541798,-0.152375265678211
1.724,-0.147875792596702,-0.149393293436701
1.726,-0.145041457331241,-0.14652832457307
1.728,-0.142317354770521,-0.143774513898031
1.73,-0.139698042106598,-0.141126381211705
1.732,-0.137178412825441,-0.138578784341525
1.734,-0.134753672122575,-0.136126894472527
1.736,-0.132419314387806,-0.133766173550439
1.738,-0.130171102562817,-0.13149235356122
1.74,-0.128005049195975,-0.129301417511535
1.742,-0.125917399037049,-0.127189581952625
1.744,-0.123904613030682,-0.125153280906421
1.746,-0.121963353581866,-0.123189151066934
1.748,-0.120090470979259,-0.12129401816284
1.75,-0.118282990873845,-0.119464884378355
