"Phi [deg]","dB(GainLHCP) [] - Freq='1.57666666666667GHz' Theta='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.57666666666667GHz' Theta='90.0000000000002deg'"
74,5.38142014166552,-25.9764133721711
76,5.47646103009607,-25.5239936151285
78,5.55830668603681,-25.1221291325328
80,5.62722508003666,-24.7734648493599
82,5.68346630449034,-24.4812155910284
84,5.72724980439449,-24.2490053244771
86,5.75875553660335,-24.0806672472513
88,5.77811828782103,-23.9800754883511
90,5.78542445262276,-23.9510416301917
92,5.7807107535452,-23.9972840287266
94,5.76396463259605,-24.1224641972311
96,5.73512630916175,-24.3302797101609
98,5.69409273595655,-24.6246042211759
100,5.64072385189868,-25.0096700910253
102,5.5748515997306,-25.4902969358625
104,5.49629213242975,-26.0721808702851
106,5.40486147672661,-26.7622769246124
108,5.30039466848512,-27.5693359637666
110,5.18276804706362,-28.5047048747854
112,5.05192402255497,-29.5835722688328
114,4.90789723950324,-30.8269315203414
116,4.75084067867105,-32.2645233937336
118,4.58104988655007,-33.9382594644009
120,4.39898322191659,-35.9007028369134
122,4.20527578660016,-38.176158064286
124,4.00074460317269,-40.5246096443128
126,3.78638267314923,-41.7148760672386
128,3.56333987129601,-40.3152257078337
130,3.33288928816399,-37.5697841941732
132,3.09637869077171,-34.8278992632067
134,2.85516824296395,-32.3846083641382
136,2.61055742719504,-30.2249029620452
138,2.36370602266598,-28.2973437717077
140,2.11555567556422,-26.5607255056848
142,1.86675962522259,-24.9863782530292
144,1.6176281410256,-23.554455472554
146,1.36809597161633,-22.2507201493394
148,1.11771569625941,-21.0644656242102
150,0.865677707290992,-19.9872738080115
152,0.610854287237058,-19.0122889551281
154,0.351862571335179,-18.133788130079
156,0.0871396474254671,-17.3469162201448
158,-0.184977119970786,-16.6475088509338
160,-0.466170341950672,-16.0319587114965
162,-0.758067199133236,-15.4970982783299
164,-1.06216966219652,-15.0400807067939
166,-1.37978916594105,-14.6582442959661
168,-1.71198249775051,-14.348946449286
170,-2.05948423813534,-14.1093516754415
172,-2.42263047477856,-13.9361559789055
174,-2.80126884862073,-13.8252286148515
176,-3.19465149527963,-13.7711548057447
178,-3.60131047924155,-13.7666757016027
180,-4.01892042858054,-13.8020548881998
