"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.724,0.556934629954671,5.79223822655249
1.726,0.546956542192434,5.87332626439041
1.728,0.537380166163912,5.95306725115823
1.73,0.52818656485733,6.03151380309703
1.732,0.519357970892374,6.10871602050552
1.734,0.510877702580214,6.1847216365043
1.736,0.502730086955936,6.25957615545436
1.738,0.494900389130314,6.33332298185189
1.74,0.487374747375593,6.4060035404488
1.742,0.480140113420284,6.47765738828176
1.744,0.473184197481352,6.54832231923332
1.746,0.466495417609439,6.61803446169521
1.748,0.460062852965477,6.68682836985433
1.75,0.453876200683853,6.75473710907854
