"Theta [deg]","dB(GainTheta) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-60,-25.7305595774466,-10.0116046012221
-58,-26.0397514859429,-11.1138462488328
-56,-26.4886761887266,-12.2775288929437
-54,-27.0801732697907,-13.4793285432172
-52,-27.816154097891,-14.6795556572755
-50,-28.6942810760171,-15.8185691877121
-48,-29.7006330362511,-16.821157392958
-46,-30.7944834944215,-17.6161802960893
-44,-31.8813905567377,-18.1679148171812
-42,-32.7841201365951,-18.4963609325203
-40,-33.2653641436944,-18.6660669097662
-38,-33.1694093956677,-18.7536289516955
-36,-32.5654807217116,-18.8193769510432
-34,-31.6754836285321,-18.8935330246271
-32,-30.7026582984894,-18.9715836828196
-30,-29.7655497474394,-19.0129832727291
-28,-28.9165499209587,-18.9451298040131
-26,-28.1724876121946,-18.6820452752755
-24,-27.5341698450397,-18.1620918918572
-22,-26.9961717596285,-17.3841401808686
-20,-26.551247949746,-16.4085230912483
-18,-26.19215464837,-15.3227348207578
-16,-25.9122788408513,-14.2058863131238
-14,-25.7057199963756,-13.113271762751
-12,-25.5671133430702,-12.0770740630508
-10,-25.4913206031502,-11.1127467005773
-8,-25.4730419766588,-10.2251912157851
-6,-25.5063757097537,-9.41313520876848
-4,-25.584350409601,-8.6718722369568
-2,-25.698474831402,-7.99488716947469
0,-25.8383887296499,-7.37480687909624
2,-25.9917507981202,-6.80396597032248
4,-26.1445449657522,-6.27475973962933
6,-26.2819796791741,-5.77988021843636
8,-26.3900364735424,-5.31248500644401
10,-26.4574669629208,-4.86632201879165
12,-26.4777230189894,-4.43581913520534
14,-26.4501424213644,-4.01614163419322
16,-26.3798981343182,-3.60321922998456
18,-26.2767139341929,-3.19374613895793
20,-26.1528448268703,-2.78515988502137
22,-26.021008783987,-2.37560598413513
24,-25.8927947692701,-1.96389539979873
26,-25.7777558613214,-1.54945971158077
28,-25.6831345130066,-1.13230594611666
30,-25.6140418594108,-0.712969997951339
32,-25.5738982368955,-0.292465482978209
34,-25.5649794179739,0.12777569171502
36,-25.5889603237011,0.545973739864789
38,-25.6473877516367,0.960082934295639
40,-25.7420439980277,1.36788305378815
42,-25.8751871643517,1.767076094985
44,-26.0496735370812,2.15538264657977
46,-26.2689825507312,2.53063203272759
48,-26.5371742019224,2.89084100162554
50,-26.8588117073395,3.23427705287449
52,-27.2388796142947,3.55950409251238
54,-27.6827218250951,3.86540966067467
56,-28.1960179760017,4.15121429127768
58,-28.7848128899473,4.41646455445946
60,-29.4556143072483,4.66101201121756
62,-30.2155803321442,4.88498073562033
64,-31.0728320550805,5.08872630311881
66,-32.0369526308028,5.27278925695309
68,-33.119780297042,5.43784607241584
70,-34.3366879628109,5.58466053665884
72,-35.7087072312783,5.71403822815401
74,-37.2661960473053,5.82678639148491
76,-39.0555059649032,5.92368095088661
78,-41.1519188880664,6.00544170723837
80,-43.6867991133844,6.07271596616627
82,-46.9088026663249,6.12607002421313
84,-51.3014665982576,6.16598718554365
86,-56.7841765102137,6.19287038341727
88,-55.2366924317823,6.2070471145261
90,-50.4280696526741,6.20877431142827
92,-47.0648914617529,6.19824099974505
94,-44.6203776849509,6.17556710195871
96,-42.7026207360607,6.14079751670001
98,-41.1116758047567,6.09389154882337
100,-39.7400851456594,6.03470878937183
102,-38.5272923669851,5.96299351878093
104,-37.4384168836522,5.8783604906169
106,-36.4533173548329,5.78028541228633
108,-35.5604220390319,5.6681034722704
110,-34.7530203198319,5.54101882988147
112,-34.026951906057,5.39812712062821
114,-33.3791449534807,5.23845185147183
116,-32.806688562439,5.0609942307055
118,-32.3062451059737,4.86479467207223
120,-31.8736777107332,4.64900307170998
122,-31.5038138655421,4.41295405024642
124,-31.1902992924232,4.15624267345388
126,-30.9255232402845,3.87879564734317
128,-30.7006209980661,3.58093254663772
130,-30.5055828084071,3.2634112412154
132,-30.329517613285,2.9274513956988
134,-30.1611267047784,2.57472993641072
136,-29.9894229911658,2.20734305446184
138,-29.8046743276792,1.82773107263028
140,-29.5994573187661,1.43856570964892
142,-29.369612746114,1.04260399563821
144,-29.1148514555471,0.642518848089937
146,-28.8388174280774,0.240721947190248
148,-28.5485665551342,-0.160801649269129
150,-28.2535950309375,-0.560627460895012
152,-27.9646621451274,-0.957978688033986
154,-27.6926561310441,-1.35275936995716
156,-27.4476726010656,-1.74553687824294
158,-27.2383711843768,-2.13748650609849
160,-27.0715952296809,-2.53031677051353
162,-26.9521996926054,-2.92619481133107
164,-26.8830276925655,-3.3276872010996
166,-26.8649918854671,-3.7377242431579
168,-26.8972390965634,-4.15958774969167
170,-26.9773959713345,-4.59691548888505
172,-27.1019031137102,-5.05371133510027
174,-27.2664403548561,-5.53434900013427
176,-27.4664237233064,-6.04355844959325
178,-27.6975176073163,-6.58638635866907
180,-27.9560637368236,-7.16812344092491
