"Theta [deg]","dB(GainTheta) [] - Freq='1.603GHz' Phi='90deg'","dB(GainPhi) [] - Freq='1.603GHz' Phi='90deg'"
54,-30.2819711317851,4.0641899876506
56,-30.6936926392645,4.33815923908128
58,-31.1874389761902,4.58830768506066
60,-31.7767308699326,4.81542772113542
62,-32.4755044954209,5.0206307072469
64,-33.2983157553595,5.20524570897838
66,-34.26091217402,5.37072116864105
68,-35.3812911612558,5.51853448732286
70,-36.6814879651179,5.65011370295111
72,-38.1905641169658,5.76677440209614
74,-39.949625335498,5.86967369361676
76,-42.0199791213736,5.95978159786731
78,-44.4935670852263,6.03786874340158
80,-47.4830152847101,6.10450801578309
82,-50.8926400343769,6.16008693572333
84,-53.0838146401082,6.204827141033
86,-51.5606064515103,6.23880739879972
88,-48.7013249411364,6.26198699323251
90,-46.223842093525,6.27422699244106
92,-44.2402924034619,6.27530766508881
94,-42.6388075055739,6.26494109492503
96,-41.3297139627596,6.2427787670991
98,-40.2556754125538,6.20841454877712
100,-39.3791256209078,6.1613840504118
102,-38.6716945748038,6.10116182626806
104,-38.1065806139315,6.02715823471154
106,-37.6526693400765,5.93871799648004
108,-37.2699678124221,5.83512252087403
110,-36.9074466140027,5.71559788023784
112,-36.506094017767,5.5793298897819
114,-36.0099646676036,5.42548711481907
116,-35.3832458940576,5.25325183976505
118,-34.6235135623816,5.06185817965372
120,-33.7606559213559,4.85063569299978
122,-32.8423274493503,4.61905615312741
124,-31.9170696597512,4.36678061779199
126,-31.0240144216119,4.09370363803872
128,-30.1901383802379,3.79999137497257
130,-29.4318635325693,3.48611054152246
132,-28.7579995593152,3.15284544809586
134,-28.1724985480562,2.8013010049023
136,-27.6765576433446,2.43289032093076
138,-27.2700797518408,2.04930652838601
140,-26.9526379964715,1.65247960271172
142,-26.7240906109779,1.24452013122587
144,-26.5849575003004,0.827653024409262
146,-26.5366320401581,0.404144824845701
148,-26.5814681426357,-0.0237716875621466
150,-26.7227483632452,-0.453972616750106
152,-26.9644927405988,-0.884516266772845
154,-27.3109904439409,-1.3137149989332
156,-27.7657912024936,-1.74020774522872
158,-28.3296176606321,-2.16303628681618
160,-28.9961668875417,-2.58172803036552
162,-29.744068768112,-2.99638600495533
164,-30.523075116601,-3.40778342311645
166,-31.2361489239033,-3.81745625151493
168,-31.7337204123867,-4.22778407898562
170,-31.8572814272264,-4.64204841959056
172,-31.5390018074736,-5.06445921070405
174,-30.8585814762526,-5.50014452028839
176,-29.9785595501842,-5.95510423960602
178,-29.0468285139277,-6.43613401561034
180,-28.1580924001066,-6.95072895989557
