"Phi [deg]","dB(GainTheta) [] - Freq='1.603GHz' Theta='90deg'","dB(GainPhi) [] - Freq='1.603GHz' Theta='90deg'"
-88,-45.7641117403637,-1.9854493768817
-86,-44.9959156984282,-2.17114323669633
-84,-44.3780116848939,-2.47871212419931
-82,-43.8902099262819,-2.91456286514497
-80,-43.5240738587905,-3.48758272745355
-78,-43.2802495938066,-4.20919614588575
-76,-43.1657352617209,-5.09285122935875
-74,-43.1914982308275,-6.15170277788836
-72,-43.3704379654064,-7.39108535234673
-70,-43.7152914138419,-8.7868703246611
-68,-44.235598964953,-10.2309781300849
-66,-44.9321576587394,-11.4356554597717
-64,-45.7865171544432,-11.9336628205866
-62,-46.7433513280579,-11.4724454426092
-60,-47.6906544574271,-10.3497058219974
-58,-48.4661585600823,-9.02287649190858
-56,-48.9363644407226,-7.75550907694487
-54,-49.1158875059688,-6.64133952924857
-52,-49.1815374831752,-5.69780887141654
-50,-49.3663382233911,-4.91617486162877
-48,-49.881547505891,-4.28102708566891
-46,-50.9222418460438,-3.7769593724726
-44,-52.7119753924682,-3.39051560344974
-42,-55.4536493173359,-3.11047557617522
-40,-58.0418427440456,-2.92757723010779
-38,-56.0097019310791,-2.83404821350187
-36,-51.9573136000461,-2.82305334774646
-34,-48.7226199930366,-2.88806272238572
-32,-46.312257524451,-3.0221039081714
-30,-44.4969410296677,-3.21684800102173
-28,-43.1183141547613,-3.4614922253469
-26,-42.073950001415,-3.74146432691217
-24,-41.2951222175636,-4.03712962550166
-22,-40.7341657396572,-4.32297382124694
-20,-40.3578384465653,-4.56812449359136
-18,-40.14370900887,-4.73927729755719
-16,-40.0778267473356,-4.80650688007251
-14,-40.1526397879188,-4.75065519138874
-12,-40.364509548728,-4.56894199309717
-10,-40.7103213023546,-4.27546453586391
-8,-41.1826426980975,-3.89624881461379
-6,-41.7628004150183,-3.46183957919725
-4,-42.4118007189263,-3.00099187084667
-2,-43.0618821418782,-2.53716371688931
0,-43.6183381355413,-2.08755499809352
2,-43.9865142768045,-1.66364907298656
4,-44.122164948199,-1.2723284297491
6,-44.0642577371253,-0.917022943308004
8,-43.9129578808055,-0.598665659616991
10,-43.7778423344574,-0.316407902609094
12,-43.7425558667018,-0.0681209514930627
14,-43.8553533381615,0.149266446220755
16,-44.1305017939755,0.339545608788596
18,-44.5477812806889,0.507077991885328
20,-45.046590414182,0.656682016830872
22,-45.5222030342674,0.79352618403201
24,-45.8461007886914,0.923002684729952
26,-45.9287048585925,1.05056164495817
28,-45.7870692770513,1.18149530994521
30,-45.541623241134,1.32067503313771
32,-45.3494287970477,1.47226093238117
34,-45.3528235130907,1.63942075932203
36,-45.6751214336207,1.82410490427615
38,-46.4482856025222,2.02692272815281
40,-47.8683433740939,2.2471494362868
42,-50.3275489593989,2.48286631027842
44,-54.8979291584105,2.7312091112612
46,-64.7562353147398,2.98867949754556
48,-55.8292738495695,3.25146808158796
50,-49.3448556351771,3.51574491684814
52,-45.5190916123801,3.77788867490026
54,-42.8853013019651,4.03464309696079
56,-40.9579488705129,4.28320356917134
58,-39.5200842721076,4.52124566711325
60,-38.456463416463,4.74691133285593
62,-37.6987298840815,4.95876831075639
64,-37.2030877980858,5.15575616632613
66,-36.9397712158145,5.33712895458172
68,-36.8874966776895,5.50240125361383
70,-37.030252958021,5.65130130794373
72,-37.3552617933211,5.78373264177556
74,-37.8515357917115,5.89974376012161
76,-38.5087158417585,5.9995044337631
78,-39.3159800678235,6.08328649953477
80,-40.2608457059998,6.15144701312192
82,-41.327645758618,6.20441186225731
84,-42.4953323907747,6.24265846734424
86,-43.7340085492989,6.26669684474912
88,-44.9992909583446,6.2770489733169
90,-46.223842093525,6.27422699244106
92,-47.3081608006032,6.25871120120176
94,-48.1212150039854,6.23092908456151
96,-48.5314115427563,6.1912366592434
98,-48.4713270168091,6.13990333484547
100,-47.9837338984009,6.07710127671067
102,-47.1938384084543,6.00290000399082
104,-46.2415897100215,5.91726673092228
106,-45.238738025919,5.82007282327863
108,-44.2616003359746,5.71110673390452
110,-43.3592889578407,5.59009390639831
112,-42.5631195948548,5.4567243602905
114,-41.8931847370129,5.3106889199507
116,-41.3623028162739,5.15172521125239
118,-40.9782827359899,4.97967448179575
120,-40.7452156675477,4.79454983505257
122,-40.6642206734468,4.59661542261609
124,-40.7339000327587,4.38647432463451
126,-40.9506874955894,4.16516010440719
128,-41.309254739495,3.93422327746941
130,-41.8031312512215,3.6957993361479
132,-42.4256281212878,3.45264009462068
134,-43.1709463811579,3.20808623464361
136,-44.0348788583515,2.96595817538141
138,-45.0136395645316,2.73034757986599
140,-46.0978791308174,2.50530551236558
142,-47.2567874039399,2.29444594971788
144,-48.4065281606355,2.10051122483362
146,-49.3714804079431,1.92497008488572
148,-49.9027164036173,1.76772769407895
150,-49.8451454443365,1.62701173503793
152,-49.309533286933,1.49946118501043
154,-48.5741609180144,1.38039710914818
156,-47.8817175779452,1.26421597669537
158,-47.3769919056966,1.14482903482001
160,-47.1386089849573,1.01607854217438
162,-47.2181989595864,0.872085447903659
164,-47.66610583434,0.70751187268396
166,-48.5468535556432,0.517746404122967
168,-49.9404276495582,0.299036788277151
170,-51.8685577754726,0.0486034856160397
172,-53.8148744285427,-0.235228752708665
174,-53.7669756504637,-0.55284328415436
176,-51.1993975296959,-0.903051316258996
178,-48.265169910702,-1.28268843178827
